codigo_cta,tipo_documento,status_documento,numero_documento,data_emissao,data_vencimento,data_quitacao,valor_documento,valor_desconto,valor_saldo,Usuario,descricao_tipo_documento,fornecedor,numero_documento_base
1,fornecedor,quitado,168367/C,2024-10-19,2025-01-17,2025-01-23,1924.75,0.0,0.0,ADMIN,DUPLICATA,IBYTE,168367
2,fornecedor,quitado,168367/D,2024-10-19,2025-02-16,2025-03-17,1924.75,0.0,0.0,ADMIN,DUPLICATA,IBYTE,168367
3,fornecedor,quitado,9725/B,2024-11-05,2025-01-04,2025-01-06,4086.13,0.0,0.0,ADMIN,DUPLICATA,PLENAMED,9725
4,fornecedor,quitado,110960/C,2024-11-05,2025-01-04,2025-01-06,1345.5,0.0,0.0,ADMIN,DUPLICATA,DINAMICA,110960
5,fornecedor,quitado,98087/B,2024-11-05,2025-01-04,2025-01-07,11268.47,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,98087
6,fornecedor,quitado,20547/B,2024-11-08,2025-01-07,2025-01-07,233.33,0.0,0.0,ADMIN,DUPLICATA,OMNIELMASTER,20547
7,fornecedor,quitado,20547/C,2024-11-08,2025-02-06,2025-03-06,233.33,0.0,0.0,ADMIN,DUPLICATA,OMNIELMASTER,20547
8,fornecedor,quitado,98200/B,2024-11-08,2025-01-07,2025-01-07,7407.85,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,98200
9,fornecedor,quitado,20583/B,2024-11-12,2025-01-11,2025-01-17,950.0,0.0,0.0,ADMIN,DUPLICATA,OMNIELMASTER,20583
10,fornecedor,quitado,20583/C,2024-11-12,2025-02-10,2025-03-06,950.0,0.0,0.0,ADMIN,DUPLICATA,OMNIELMASTER,20583
11,fornecedor,quitado,218513/C,2024-11-05,2025-01-04,2025-01-20,2526.66,0.0,0.0,ADMIN,DUPLICATA,DISTRIB BRASIL,218513
12,fornecedor,quitado,122703/D,2024-10-31,2025-01-14,2025-01-01,10050.0,0.0,0.0,ADMIN,DUPLICATA,HIPOLABOR,122703
13,fornecedor,quitado,19606/B,2024-11-08,2025-01-07,2025-01-07,529.0,0.0,0.0,ADMIN,DUPLICATA,JORGE DEMETRIO DE BRITO FILHO ME,19606
14,fornecedor,quitado,19606/C,2024-11-08,2025-02-06,2025-03-14,529.0,0.0,0.0,ADMIN,DUPLICATA,JORGE DEMETRIO DE BRITO FILHO ME,19606
15,fornecedor,quitado,19606/D,2024-11-08,2025-03-08,2025-03-14,529.0,0.0,0.0,ADMIN,DUPLICATA,JORGE DEMETRIO DE BRITO FILHO ME,19606
16,fornecedor,quitado,33716/B,2024-11-11,2025-01-10,2025-01-17,3500.0,0.0,0.0,ADMIN,DUPLICATA,NORD FARMA,33716
17,fornecedor,quitado,335398/C,2024-11-12,2025-01-11,2025-01-17,4115.2,0.0,0.0,ADMIN,DUPLICATA,FARMACE,335398
18,fornecedor,quitado,98486/B,2024-11-19,2025-01-18,2025-01-23,6537.25,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,98486
19,fornecedor,quitado,111421/B,2024-11-21,2025-01-05,2025-01-06,696.87,0.0,0.0,ADMIN,DUPLICATA,DINAMICA,111421
20,fornecedor,quitado,111421/C,2024-11-21,2025-01-20,2025-01-23,696.87,0.0,0.0,ADMIN,DUPLICATA,DINAMICA,111421
21,fornecedor,quitado,53514/B,2024-11-14,2025-01-13,2025-01-23,429.96,0.0,0.0,INFARMA,DUPLICATA,R7 BEZERRA,53514
22,fornecedor,quitado,53514/C,2024-11-14,2025-02-12,2025-03-05,429.96,0.0,0.0,ADMIN,DUPLICATA,R7 BEZERRA,53514
23,fornecedor,quitado,9317/B,2024-11-18,2025-01-02,2025-01-02,1113.33,0.0,0.0,ADMIN,DUPLICATA,TUBOMED,9317
24,fornecedor,quitado,9317/C,2024-11-18,2025-01-17,2025-01-23,1113.33,0.0,0.0,ADMIN,DUPLICATA,TUBOMED,9317
25,fornecedor,quitado,51339/B,2024-11-22,2025-01-03,2025-01-07,12772.65,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51339
26,fornecedor,quitado,111494/B,2024-11-22,2025-01-06,2025-01-06,2241.43,0.0,0.0,ADMIN,DUPLICATA,DINAMICA,111494
27,fornecedor,quitado,111494/C,2024-11-22,2025-01-21,2025-01-23,2241.43,0.0,0.0,ADMIN,DUPLICATA,DINAMICA,111494
28,fornecedor,quitado,64019/A,2024-11-22,2025-01-11,2025-01-17,4673.24,0.0,0.0,ADMIN,DUPLICATA,MED MAIS SAUDE LTDA,64019
29,fornecedor,quitado,64019/B,2024-11-22,2025-01-21,2025-01-27,4673.24,0.0,0.0,ADMIN,DUPLICATA,MED MAIS SAUDE LTDA,64019
30,fornecedor,quitado,64019/C,2024-11-22,2025-01-31,2025-02-04,4673.24,0.0,0.0,ADMIN,DUPLICATA,MED MAIS SAUDE LTDA,64019
